mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_features,param_rf__min_impurity_decrease,param_rf__min_samples_leaf,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3885630130767822,0.005331282421606703,0.005015182495117188,0.00032257515324432404,squared_error,1.0,0.0,1,25,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 25}",-0.016566937610670518,0.11523139388139403,0.050390559245646505,0.11620393671837703,0.17445134586503386,0.08794205961995619,0.06535984049965918,1598
0.8013187885284424,0.012804379880559913,0.009007930755615234,0.0018597674586073249,squared_error,1.0,0.0,1,50,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 50}",-0.012287315520939313,0.1431561321771051,0.06502817864870203,0.1023398786169355,0.20982415020436906,0.10161220482523448,0.07449529413066991,1468
1.5442296028137208,0.032189529738626155,0.01259598731994629,0.00023215803193193767,squared_error,1.0,0.0,1,100,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 100}",0.015586911320405128,0.12849988877043028,0.08109997228494836,0.09676249266049508,0.20409360858515002,0.10520857472428577,0.06165280009333751,1392
3.981532335281372,0.09297192502467036,0.029305124282836915,0.0007803881239666668,squared_error,1.0,0.0,1,250,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 250}",-0.010451407612360963,0.13118161051462196,0.09488299362868757,0.11089497401678061,0.21691317221461237,0.10868426855246831,0.07294970558774659,1310
7.695844459533691,0.10031371729219934,0.053835058212280275,0.0015304351716127777,squared_error,1.0,0.0,1,500,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 500}",-0.010290984604931719,0.12371404446944179,0.09231553555242689,0.09985628959079851,0.22448108553243218,0.10601519410803353,0.07496686827032027,1378
15.331383419036865,0.20124139668515859,0.10738649368286132,0.008992335458203266,squared_error,1.0,0.0,1,1000,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 1, 'rf__n_estimators': 1000}",0.003906620519208537,0.1313313490341913,0.08743580162164533,0.11083517049601344,0.22037725398285835,0.11077723913078338,0.06985812747698464,1255
0.33515048027038574,0.0038992310183059626,0.004658651351928711,0.0005248992682106271,squared_error,1.0,0.0,2,25,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 25}",-0.04492227389512182,0.09305935113077324,0.08114795630498839,0.07677048567440936,0.2440402541362673,0.0900191546702633,0.09186420021869225,1578
0.6582157611846924,0.009368913248166345,0.0070778846740722655,0.0003848795014108693,squared_error,1.0,0.0,2,50,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 50}",0.004614881830033113,0.139867790740281,0.07809501555050657,0.10074794035367696,0.23397258377485186,0.1114596424498699,0.07544559025314865,1228
1.317546272277832,0.016939543229563994,0.011768436431884766,0.0001526263754711497,squared_error,1.0,0.0,2,100,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 100}",0.0032634084825731158,0.12613367903662775,0.0971794929521329,0.10655005861612454,0.22036021127104,0.11069737007169966,0.06929099172509458,1257
3.2750253200531008,0.04447808223320015,0.02565927505493164,7.598118452148796e-05,squared_error,1.0,0.0,2,250,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 250}",0.003503178040488608,0.13299820236082904,0.09501167499718344,0.11551168384774635,0.21706800929678172,0.11281854970860583,0.06862850201921852,1172
6.543115472793579,0.07309923508305237,0.04857368469238281,0.00016746140825479283,squared_error,1.0,0.0,2,500,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 500}",0.01227999010084413,0.1271288057300256,0.10132231272631032,0.11158935806475712,0.22174781020469136,0.1148136553653257,0.06677146296370796,1085
13.09462103843689,0.16747196737864115,0.0954556941986084,0.0003927736761567325,squared_error,1.0,0.0,2,1000,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 2, 'rf__n_estimators': 1000}",0.0062454751349029225,0.13525133387623456,0.09942302715525897,0.11498815149923847,0.2251869424770342,0.11621898602853382,0.07016272241516994,1034
0.29820957183837893,0.004401367316316354,0.004519844055175781,0.0004600652462422869,squared_error,1.0,0.0,3,25,"{'rf__criterion': 'squared_error', 'rf__max_features': 1.0, 'rf__min_impurity_decrease': 0.0, 'rf__min_samples_leaf': 3, 'rf__n_estimators': 25}",-0.034654313176960994,0.13948412751975947,0.09262775428025805,0.1121028686633797,0.21675192314265135,0.10526247208581752,0.0817118758996861,1391
