mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_catboost__bagging_temperature,param_catboost__depth,param_catboost__iterations,param_catboost__l2_leaf_reg,param_catboost__random_strength,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5677521705627442,0.12157090198805537,0.05907034873962402,0.0024311958389675666,0.0,4,100,0.0,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0}",0.6208803765506474,0.6494732396476534,0.6452195531416804,0.6653984757150733,0.6240841663019402,0.641011162271399,0.016588128830725243,7
0.5120995998382568,0.07799653056843647,0.05430412292480469,0.0006984538583234017,0.0,4,100,0.0,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0.01}",0.6224318063447999,0.6447128284843116,0.6565427032843821,0.6711966492121479,0.6267441920315937,0.6443256358714471,0.018220345502122547,1
0.5109184741973877,0.08016908092187239,0.05626659393310547,0.0032051666072517864,0.0,4,100,0.01,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0}",0.6215028540087064,0.6399783863543751,0.6471418350598961,0.6590431146090828,0.633424023030577,0.6402180426125275,0.012639593816324344,10
0.5219257354736329,0.08933475858634948,0.0580498218536377,0.006356969590028593,0.0,4,100,0.01,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0.01}",0.617668011254543,0.644957859373987,0.6525527771223938,0.6679978911890994,0.6247069301918052,0.6415766938263656,0.01836409748650018,6
1.2189953804016114,0.21193492661460991,0.05656390190124512,0.0021672799918593193,0.0,4,250,0.0,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0}",0.6205832046914661,0.6321915687031708,0.6418083212190401,0.653368758309101,0.6303319929224029,0.6356567691690362,0.011127707349912535,23
1.2123034000396729,0.20509570074795047,0.056392335891723634,0.0013020143742495716,0.0,4,250,0.0,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0.01}",0.6131983425404177,0.6331184902817435,0.6441712363344032,0.6571162766236328,0.6355563734558604,0.6366321438472115,0.014415850291479945,20
1.2137070178985596,0.1954125316632092,0.0568751335144043,0.0023986546107900436,0.0,4,250,0.01,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0}",0.6160799506059701,0.6343168122977636,0.6448955976417018,0.6536325744253559,0.6435743355276674,0.6384998540996919,0.01277344928402093,12
1.2178226470947267,0.1818565255599861,0.0563621997833252,0.0012766496104921253,0.0,4,250,0.01,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 4, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0.01}",0.6129714352381803,0.6318877323685015,0.6477258665849325,0.6535129017187448,0.6392342141891365,0.637066430019899,0.014115218668691922,17
1.1902149200439454,0.10015536621588812,0.05620641708374023,0.0009638455090748396,0.0,6,100,0.0,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0}",0.6059702166627511,0.6620582546455797,0.6452342005255755,0.6663929932526489,0.63087960489439,0.6421070539961891,0.02204342497949808,4
1.1474352836608888,0.07696766121465146,0.05574941635131836,0.001587777314174673,0.0,6,100,0.0,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0.01}",0.6084463095550683,0.6505636272389583,0.6455587157916601,0.6603836100208654,0.6376442689226993,0.6405193063058503,0.01765116173845504,9
1.1271197319030761,0.07171574471200017,0.055510854721069335,0.0015269871695421829,0.0,6,100,0.01,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0}",0.6007563170736017,0.6471390989386273,0.6405494965951052,0.6550387251527777,0.6303822533951601,0.6347731782310543,0.018832956776594113,25
1.2102398872375488,0.08114909530491506,0.05677480697631836,0.002108493762000431,0.0,6,100,0.01,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 100, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0.01}",0.5974036300912743,0.641563615607794,0.6459813396113233,0.6656588637322418,0.6380442967372666,0.63773034915598,0.022311958834798584,16
2.821564531326294,0.1028483738389197,0.05694398880004883,0.0012891913415454712,0.0,6,250,0.0,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0}",0.6117386781083943,0.6256380583838834,0.6376277076244431,0.6515352951733024,0.6261335250974094,0.6305346528774866,0.01332646714903719,31
2.806683969497681,0.12522866021282447,0.05549607276916504,0.0004223456994518631,0.0,6,250,0.0,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0, 'catboost__random_strength': 0.01}",0.6018564000873768,0.6318406690652595,0.643021661419513,0.6596929517460172,0.6311254471492359,0.6335074258934805,0.018902072782950443,28
2.741281509399414,0.16349021623837415,0.05605416297912598,0.0008927093507810586,0.0,6,250,0.01,0.0,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0}",0.6036053339914065,0.6277211824814288,0.6381679723226432,0.6608276136456165,0.6311837611695538,0.6323011727221297,0.018405723289000014,29
2.7707712173461916,0.18883427067585423,0.058857297897338866,0.0039290452357057205,0.0,6,250,0.01,0.01,"{'catboost__bagging_temperature': 0, 'catboost__depth': 6, 'catboost__iterations': 250, 'catboost__l2_leaf_reg': 0.01, 'catboost__random_strength': 0.01}",0.6046981734810053,0.6392737645959449,0.6476441966352396,0.6529099616462001,0.6404349173796503,0.636992202747608,0.016892614699409357,19
