epoch,step,train_loss
1,49,nan
2,99,nan
3,149,nan
4,199,nan
5,249,nan
6,299,nan
8,349,nan
9,399,nan
10,449,nan
11,499,nan
12,549,nan
13,599,nan
15,649,nan
16,699,nan
17,749,nan
18,799,nan
19,849,nan
20,899,nan
22,949,nan
23,999,nan
24,1049,nan
25,1099,nan
26,1149,nan
27,1199,nan
29,1249,nan
30,1299,nan
31,1349,nan
32,1399,nan
33,1449,nan
34,1499,nan
36,1549,nan
37,1599,nan
38,1649,nan
39,1699,nan
40,1749,nan
41,1799,nan
43,1849,nan
44,1899,nan
45,1949,nan
46,1999,nan
47,2049,nan
48,2099,nan
49,2149,nan
51,2199,nan
52,2249,nan
53,2299,nan
54,2349,nan
55,2399,nan
56,2449,nan
58,2499,nan
59,2549,nan
60,2599,nan
61,2649,nan
62,2699,nan
63,2749,nan
65,2799,nan
66,2849,nan
67,2899,nan
68,2949,nan
69,2999,nan
70,3049,nan
72,3099,nan
73,3149,nan
74,3199,nan
75,3249,nan
76,3299,nan
77,3349,nan
79,3399,nan
80,3449,nan
81,3499,nan
82,3549,nan
83,3599,nan
84,3649,nan
86,3699,nan
87,3749,nan
88,3799,nan
89,3849,nan
90,3899,nan
91,3949,nan
93,3999,nan
94,4049,nan
95,4099,nan
96,4149,nan
97,4199,nan
98,4249,nan
99,4299,nan
101,4349,nan
102,4399,nan
103,4449,nan
104,4499,nan
105,4549,nan
106,4599,nan
108,4649,nan
109,4699,nan
110,4749,nan
111,4799,nan
112,4849,nan
113,4899,nan
115,4949,nan
116,4999,nan
117,5049,nan
118,5099,nan
119,5149,nan
120,5199,nan
122,5249,nan
123,5299,nan
124,5349,nan
125,5399,nan
126,5449,nan
127,5499,nan
129,5549,nan
130,5599,nan
131,5649,nan
132,5699,nan
133,5749,nan
134,5799,nan
136,5849,nan
137,5899,nan
138,5949,nan
139,5999,nan
140,6049,nan
141,6099,nan
143,6149,nan
144,6199,nan
145,6249,nan
146,6299,nan
147,6349,nan
148,6399,nan
149,6449,nan
151,6499,nan
152,6549,nan
153,6599,nan
154,6649,nan
155,6699,nan
156,6749,nan
158,6799,nan
159,6849,nan
160,6899,nan
161,6949,nan
162,6999,nan
163,7049,nan
165,7099,nan
166,7149,nan
167,7199,nan
168,7249,nan
169,7299,nan
170,7349,nan
172,7399,nan
173,7449,nan
174,7499,nan
175,7549,nan
176,7599,nan
177,7649,nan
179,7699,nan
180,7749,nan
181,7799,nan
182,7849,nan
183,7899,nan
184,7949,nan
186,7999,nan
187,8049,nan
188,8099,nan
189,8149,nan
190,8199,nan
191,8249,nan
193,8299,nan
194,8349,nan
195,8399,nan
196,8449,nan
197,8499,nan
198,8549,nan
199,8599,nan
201,8649,nan
202,8699,nan
203,8749,nan
204,8799,nan
205,8849,nan
206,8899,nan
208,8949,nan
209,8999,nan
210,9049,nan
211,9099,nan
212,9149,nan
213,9199,nan
215,9249,nan
216,9299,nan
217,9349,nan
218,9399,nan
219,9449,nan
220,9499,nan
222,9549,nan
223,9599,nan
224,9649,nan
225,9699,nan
226,9749,nan
227,9799,nan
229,9849,nan
230,9899,nan
231,9949,nan
232,9999,nan
233,10049,nan
234,10099,nan
236,10149,nan
237,10199,nan
238,10249,nan
239,10299,nan
240,10349,nan
241,10399,nan
243,10449,nan
244,10499,nan
245,10549,nan
246,10599,nan
247,10649,nan
248,10699,nan
249,10749,nan
251,10799,nan
252,10849,nan
253,10899,nan
254,10949,nan
255,10999,nan
256,11049,nan
258,11099,nan
259,11149,nan
260,11199,nan
261,11249,nan
262,11299,nan
263,11349,nan
265,11399,nan
266,11449,nan
267,11499,nan
268,11549,nan
269,11599,nan
270,11649,nan
272,11699,nan
273,11749,nan
274,11799,nan
275,11849,nan
276,11899,nan
277,11949,nan
279,11999,nan
280,12049,nan
281,12099,nan
282,12149,nan
283,12199,nan
284,12249,nan
286,12299,nan
287,12349,nan
288,12399,nan
289,12449,nan
290,12499,nan
291,12549,nan
293,12599,nan
294,12649,nan
295,12699,nan
296,12749,nan
297,12799,nan
298,12849,nan
299,12899,nan
301,12949,nan
302,12999,nan
303,13049,nan
304,13099,nan
305,13149,nan
306,13199,nan
308,13249,nan
309,13299,nan
310,13349,nan
311,13399,nan
312,13449,nan
313,13499,nan
315,13549,nan
316,13599,nan
317,13649,nan
318,13699,nan
319,13749,nan
320,13799,nan
322,13849,nan
323,13899,nan
324,13949,nan
325,13999,nan
326,14049,nan
327,14099,nan
329,14149,nan
330,14199,nan
331,14249,nan
332,14299,nan
333,14349,nan
334,14399,nan
336,14449,nan
337,14499,nan
338,14549,nan
339,14599,nan
340,14649,nan
341,14699,nan
343,14749,nan
344,14799,nan
345,14849,nan
346,14899,nan
347,14949,nan
348,14999,nan
349,15049,nan
351,15099,nan
352,15149,nan
353,15199,nan
354,15249,nan
355,15299,nan
356,15349,nan
358,15399,nan
359,15449,nan
360,15499,nan
361,15549,nan
362,15599,nan
363,15649,nan
365,15699,nan
366,15749,nan
367,15799,nan
368,15849,nan
369,15899,nan
370,15949,nan
372,15999,nan
373,16049,nan
374,16099,nan
375,16149,nan
376,16199,nan
377,16249,nan
379,16299,nan
380,16349,nan
381,16399,nan
382,16449,nan
383,16499,nan
384,16549,nan
386,16599,nan
387,16649,nan
388,16699,nan
389,16749,nan
390,16799,nan
391,16849,nan
393,16899,nan
394,16949,nan
395,16999,nan
396,17049,nan
397,17099,nan
398,17149,nan
399,17199,nan
401,17249,nan
402,17299,nan
403,17349,nan
404,17399,nan
405,17449,nan
406,17499,nan
408,17549,nan
409,17599,nan
410,17649,nan
411,17699,nan
412,17749,nan
413,17799,nan
415,17849,nan
416,17899,nan
417,17949,nan
418,17999,nan
419,18049,nan
420,18099,nan
422,18149,nan
423,18199,nan
424,18249,nan
425,18299,nan
426,18349,nan
427,18399,nan
429,18449,nan
430,18499,nan
431,18549,nan
432,18599,nan
433,18649,nan
434,18699,nan
436,18749,nan
437,18799,nan
438,18849,nan
439,18899,nan
440,18949,nan
441,18999,nan
443,19049,nan
444,19099,nan
445,19149,nan
446,19199,nan
447,19249,nan
448,19299,nan
449,19349,nan
451,19399,nan
452,19449,nan
453,19499,nan
454,19549,nan
455,19599,nan
456,19649,nan
458,19699,nan
459,19749,nan
460,19799,nan
461,19849,nan
462,19899,nan
463,19949,nan
465,19999,nan
466,20049,nan
467,20099,nan
468,20149,nan
469,20199,nan
470,20249,nan
472,20299,nan
473,20349,nan
474,20399,nan
475,20449,nan
476,20499,nan
477,20549,nan
479,20599,nan
480,20649,nan
481,20699,nan
482,20749,nan
483,20799,nan
484,20849,nan
486,20899,nan
487,20949,nan
488,20999,nan
