epoch,step,train_loss
489,21049,nan
490,21099,nan
491,21149,nan
493,21199,nan
494,21249,nan
495,21299,nan
496,21349,nan
497,21399,nan
498,21449,nan
499,21499,nan
501,21549,nan
502,21599,nan
503,21649,nan
504,21699,nan
505,21749,nan
506,21799,nan
508,21849,nan
509,21899,nan
510,21949,nan
511,21999,nan
512,22049,nan
513,22099,nan
515,22149,nan
516,22199,nan
517,22249,nan
518,22299,nan
519,22349,nan
520,22399,nan
522,22449,nan
523,22499,nan
524,22549,nan
525,22599,nan
526,22649,nan
527,22699,nan
529,22749,nan
530,22799,nan
531,22849,nan
532,22899,nan
533,22949,nan
534,22999,nan
536,23049,nan
537,23099,nan
538,23149,nan
539,23199,nan
540,23249,nan
541,23299,nan
543,23349,nan
544,23399,nan
545,23449,nan
546,23499,nan
547,23549,nan
548,23599,nan
549,23649,nan
551,23699,nan
552,23749,nan
553,23799,nan
554,23849,nan
555,23899,nan
556,23949,nan
558,23999,nan
559,24049,nan
560,24099,nan
561,24149,nan
562,24199,nan
563,24249,nan
565,24299,nan
566,24349,nan
567,24399,nan
568,24449,nan
569,24499,nan
570,24549,nan
572,24599,nan
573,24649,nan
574,24699,nan
575,24749,nan
576,24799,nan
577,24849,nan
579,24899,nan
580,24949,nan
581,24999,nan
582,25049,nan
583,25099,nan
584,25149,nan
586,25199,nan
587,25249,nan
588,25299,nan
589,25349,nan
590,25399,nan
591,25449,nan
593,25499,nan
594,25549,nan
595,25599,nan
596,25649,nan
597,25699,nan
598,25749,nan
599,25799,nan
601,25849,nan
602,25899,nan
603,25949,nan
604,25999,nan
605,26049,nan
606,26099,nan
608,26149,nan
609,26199,nan
610,26249,nan
611,26299,nan
612,26349,nan
613,26399,nan
615,26449,nan
616,26499,nan
617,26549,nan
618,26599,nan
619,26649,nan
620,26699,nan
622,26749,nan
623,26799,nan
624,26849,nan
625,26899,nan
626,26949,nan
627,26999,nan
629,27049,nan
630,27099,nan
631,27149,nan
632,27199,nan
633,27249,nan
634,27299,nan
636,27349,nan
637,27399,nan
638,27449,nan
639,27499,nan
640,27549,nan
641,27599,nan
643,27649,nan
644,27699,nan
645,27749,nan
646,27799,nan
647,27849,nan
648,27899,nan
649,27949,nan
651,27999,nan
652,28049,nan
653,28099,nan
654,28149,nan
655,28199,nan
656,28249,nan
658,28299,nan
659,28349,nan
660,28399,nan
661,28449,nan
662,28499,nan
663,28549,nan
665,28599,nan
666,28649,nan
667,28699,nan
668,28749,nan
669,28799,nan
670,28849,nan
672,28899,nan
673,28949,nan
674,28999,nan
675,29049,nan
676,29099,nan
677,29149,nan
679,29199,nan
680,29249,nan
681,29299,nan
682,29349,nan
683,29399,nan
684,29449,nan
686,29499,nan
687,29549,nan
688,29599,nan
689,29649,nan
690,29699,nan
691,29749,nan
693,29799,nan
694,29849,nan
695,29899,nan
696,29949,nan
697,29999,nan
698,30049,nan
699,30099,nan
701,30149,nan
702,30199,nan
703,30249,nan
704,30299,nan
705,30349,nan
706,30399,nan
708,30449,nan
709,30499,nan
710,30549,nan
711,30599,nan
712,30649,nan
713,30699,nan
715,30749,nan
716,30799,nan
717,30849,nan
718,30899,nan
719,30949,nan
720,30999,nan
722,31049,nan
723,31099,nan
724,31149,nan
725,31199,nan
726,31249,nan
727,31299,nan
729,31349,nan
730,31399,nan
731,31449,nan
732,31499,nan
733,31549,nan
734,31599,nan
736,31649,nan
737,31699,nan
738,31749,nan
739,31799,nan
740,31849,nan
741,31899,nan
743,31949,nan
744,31999,nan
745,32049,nan
746,32099,nan
747,32149,nan
748,32199,nan
749,32249,nan
751,32299,nan
752,32349,nan
753,32399,nan
754,32449,nan
755,32499,nan
756,32549,nan
758,32599,nan
759,32649,nan
760,32699,nan
761,32749,nan
762,32799,nan
763,32849,nan
765,32899,nan
766,32949,nan
767,32999,nan
768,33049,nan
769,33099,nan
770,33149,nan
772,33199,nan
773,33249,nan
774,33299,nan
775,33349,nan
776,33399,nan
777,33449,nan
779,33499,nan
780,33549,nan
781,33599,nan
782,33649,nan
783,33699,nan
784,33749,nan
786,33799,nan
787,33849,nan
788,33899,nan
789,33949,nan
790,33999,nan
791,34049,nan
793,34099,nan
794,34149,nan
795,34199,nan
796,34249,nan
797,34299,nan
798,34349,nan
799,34399,nan
801,34449,nan
802,34499,nan
803,34549,nan
804,34599,nan
805,34649,nan
806,34699,nan
808,34749,nan
809,34799,nan
810,34849,nan
811,34899,nan
812,34949,nan
813,34999,nan
815,35049,nan
816,35099,nan
817,35149,nan
818,35199,nan
819,35249,nan
820,35299,nan
822,35349,nan
823,35399,nan
824,35449,nan
825,35499,nan
826,35549,nan
827,35599,nan
829,35649,nan
830,35699,nan
831,35749,nan
832,35799,nan
833,35849,nan
834,35899,nan
836,35949,nan
837,35999,nan
838,36049,nan
839,36099,nan
840,36149,nan
841,36199,nan
843,36249,nan
844,36299,nan
845,36349,nan
846,36399,nan
847,36449,nan
848,36499,nan
849,36549,nan
851,36599,nan
852,36649,nan
853,36699,nan
854,36749,nan
855,36799,nan
856,36849,nan
858,36899,nan
859,36949,nan
860,36999,nan
861,37049,nan
862,37099,nan
863,37149,nan
865,37199,nan
866,37249,nan
867,37299,nan
868,37349,nan
869,37399,nan
870,37449,nan
872,37499,nan
873,37549,nan
874,37599,nan
875,37649,nan
876,37699,nan
877,37749,nan
879,37799,nan
880,37849,nan
881,37899,nan
882,37949,nan
883,37999,nan
884,38049,nan
886,38099,nan
887,38149,nan
888,38199,nan
889,38249,nan
890,38299,nan
891,38349,nan
893,38399,nan
894,38449,nan
895,38499,nan
896,38549,nan
897,38599,nan
898,38649,nan
899,38699,nan
901,38749,nan
902,38799,nan
903,38849,nan
904,38899,nan
905,38949,nan
906,38999,nan
908,39049,nan
909,39099,nan
910,39149,nan
911,39199,nan
912,39249,nan
913,39299,nan
915,39349,nan
916,39399,nan
917,39449,nan
918,39499,nan
919,39549,nan
920,39599,nan
922,39649,nan
923,39699,nan
924,39749,nan
925,39799,nan
926,39849,nan
927,39899,nan
929,39949,nan
930,39999,nan
931,40049,nan
932,40099,nan
933,40149,nan
934,40199,nan
936,40249,nan
937,40299,nan
938,40349,nan
939,40399,nan
940,40449,nan
941,40499,nan
943,40549,nan
944,40599,nan
945,40649,nan
946,40699,nan
947,40749,nan
948,40799,nan
949,40849,nan
951,40899,nan
952,40949,nan
953,40999,nan
954,41049,nan
955,41099,nan
956,41149,nan
958,41199,nan
959,41249,nan
960,41299,nan
961,41349,nan
962,41399,nan
963,41449,nan
965,41499,nan
966,41549,nan
967,41599,nan
968,41649,nan
969,41699,nan
970,41749,nan
972,41799,nan
973,41849,nan
974,41899,nan
975,41949,nan
976,41999,nan
977,42049,nan
979,42099,nan
980,42149,nan
